iter	Passed	Remaining
0	1	103
1	1	69
2	1	57
3	2	49
4	2	46
5	2	43
6	3	41
7	4	47
8	4	44
9	4	42
10	4	40
11	5	38
12	5	37
13	5	35
14	6	34
15	6	34
16	6	33
17	7	32
18	7	31
19	7	31
20	8	30
21	8	30
22	8	29
23	9	29
24	9	28
25	9	28
26	10	27
27	10	27
28	10	26
29	11	26
30	11	26
31	12	25
32	12	25
33	12	24
34	13	24
35	13	24
36	13	23
37	14	23
38	14	23
39	15	22
40	15	22
41	16	22
42	16	21
43	16	21
44	17	21
45	17	20
46	18	20
47	18	19
48	18	19
49	19	19
50	19	19
51	20	18
52	20	18
53	21	17
54	21	17
55	21	17
56	22	16
57	22	16
58	23	16
59	23	15
60	24	15
61	24	14
62	24	14
63	25	14
64	25	13
65	26	13
66	26	13
67	27	12
68	27	12
69	28	12
70	28	11
71	28	11
72	29	10
73	29	10
74	30	10
75	30	9
76	31	9
77	31	8
78	32	8
79	32	8
80	33	7
81	33	7
82	33	6
83	34	6
84	34	6
85	35	5
86	35	5
87	35	4
88	36	4
89	36	4
90	37	3
91	37	3
92	37	2
93	38	2
94	38	2
95	39	1
96	39	1
97	39	0
98	40	0
99	40	0
