iter	Passed	Remaining
0	61	61242
1	61	30783
2	62	20627
3	62	15616
4	63	12571
5	63	10528
6	63	9072
7	64	8002
8	64	7144
9	65	6465
10	65	5899
11	66	5455
12	66	5054
13	66	4711
14	67	4435
15	67	4174
16	68	3943
17	68	3759
18	69	3580
19	69	3415
20	70	3267
21	71	3169
22	71	3050
23	72	2945
24	72	2839
25	73	2748
26	74	2667
27	74	2583
28	74	2505
29	75	2430
30	75	2366
31	76	2303
32	76	2242
33	76	2187
34	77	2130
35	77	2082
36	78	2036
37	78	1997
38	79	1952
39	79	1911
40	79	1871
41	80	1834
42	80	1797
43	81	1762
44	81	1730
45	82	1705
46	82	1678
47	83	1648
48	83	1620
49	84	1601
50	84	1574
51	84	1549
52	85	1525
53	85	1502
54	86	1483
55	86	1461
56	87	1442
57	87	1423
58	88	1403
59	88	1385
60	88	1366
61	89	1349
62	89	1331
63	89	1314
64	90	1301
65	91	1289
66	91	1274
67	91	1260
68	92	1249
69	93	1235
70	93	1221
71	93	1208
72	94	1196
73	94	1187
74	95	1175
75	95	1166
76	96	1155
77	97	1147
78	97	1135
79	97	1125
80	98	1118
81	98	1107
82	99	1094
83	99	1085
84	100	1076
85	100	1067
86	100	1057
87	101	1051
88	102	1044
89	102	1037
90	103	1032
91	103	1023
92	104	1014
93	104	1007
94	104	999
95	105	991
96	105	984
97	106	977
98	106	969
99	106	962
100	107	956
101	107	949
102	108	943
103	108	937
104	109	930
105	109	924
106	110	918
107	110	911
108	110	906
109	111	902
110	111	896
111	112	891
112	112	886
113	113	880
114	113	875
115	114	871
116	114	864
117	114	859
118	115	854
119	115	848
120	116	843
121	116	839
122	117	834
123	117	829
124	117	824
125	118	821
126	118	815
127	119	812
128	120	810
129	120	806
130	120	802
131	121	800
132	122	797
133	122	793
134	123	790
135	123	785
136	124	782
137	124	779
138	125	776
139	125	773
140	126	770
141	126	766
142	127	763
143	127	760
144	128	757
145	128	754
146	129	750
147	129	747
148	130	745
149	131	742
150	131	739
151	132	736
152	132	732
153	132	729
154	133	725
155	133	722
156	133	718
157	134	715
158	134	712
159	135	710
160	135	707
161	136	704
162	136	702
163	137	700
164	137	697
165	138	693
166	138	690
167	139	688
168	139	686
169	139	683
170	141	683
171	141	680
172	141	678
173	142	675
174	142	672
175	143	670
176	143	667
177	143	664
178	144	661
179	145	660
180	145	658
181	145	655
182	146	652
183	146	650
184	146	647
185	147	644
186	147	642
187	148	640
188	148	638
189	149	636
190	149	633
191	150	632
192	150	630
193	151	628
194	151	626
195	152	624
196	152	622
197	153	620
198	153	619
199	154	618
200	154	616
201	155	614
202	155	612
203	156	609
204	156	607
205	157	605
206	157	604
207	158	602
208	158	600
209	159	599
210	159	597
211	160	595
212	160	593
213	161	591
214	161	590
215	162	590
216	163	589
217	163	587
218	164	585
219	164	584
220	165	582
221	165	581
222	166	579
223	166	576
224	166	574
225	167	573
226	167	571
227	168	569
228	168	567
229	169	565
230	169	564
231	169	562
232	170	560
233	170	558
234	171	556
235	171	554
236	171	553
237	172	552
238	173	550
239	173	549
240	174	548
241	174	546
242	175	545
243	175	544
244	176	544
245	177	542
246	177	540
247	177	539
248	178	537
249	178	535
250	178	533
251	179	532
252	180	532
253	180	530
254	181	529
255	181	528
256	182	527
257	182	525
258	183	524
259	183	522
260	183	520
261	184	519
262	184	517
263	185	516
264	185	514
265	186	513
266	186	511
267	186	510
268	187	508
269	187	507
270	188	506
271	188	505
272	189	504
273	189	503
274	190	501
275	190	500
276	191	499
277	191	497
278	192	497
279	192	495
280	193	494
